stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1600,TIDWELL RD @ WHEATLEY ST,,29.8469,-95.42824,,
1601,TIDWELL RD @ TUSKEGEE ST,,29.84689,-95.42613,,
1603,KNOX ST @ MANSFIELD ST,,29.8513,-95.423,,
1604,KNOX ST @ RACHEL ST,,29.85396,-95.42303,,
1608,MONTGOMERY RD @ SHEPHERD DR,,29.85001,-95.41256,,
1609,DE PRIEST DR @ ROSIE ST,,29.85867,-95.41804,,
1616,LAWN DR @ FORTUNE,,29.8735,-95.41737,,
1617,LAWN DR @ RINGOLD ST,,29.875135,-95.417387,,
1618,RINGOLD ST @ DE PRIEST DR,,29.8744,-95.42106,,
1620,DE PRIEST DR @ MARCOLIN ST,,29.87987,-95.42071,,
1621,DE PRIEST DR @ DEWALT ST,,29.88232,-95.42074,,
1622,DEWALT ST @ PARKWAY DR,,29.88239,-95.42373,,
1623,DEWALT ST @ PARKWAY DR,,29.88237,-95.42532,,
1624,DEWALT ST @ PRAIRIE VIEW DR,,29.88209,-95.42815,,
1626,DEWALT ST @ IRBY,,29.88194,-95.43361,,
1627,DEWALT ST @ TOWER ST,,29.88182,-95.43784,,
1629,DEWALT ST @ BECKLEY ST,,29.8826,-95.44251,,
1630,DEWALT ST @ BECKLEY ST,,29.88253,-95.4451,,
1632,MONTGOMERY RD @ MC CRAREY DR,,29.887479,-95.453293,,
1660,MAIN ST @ DRYDEN RD,,29.710574,-95.40177,,
1663,MAXEY ROAD PR,MAXEY PR,29.784356,-95.217505,,
1665,WESTWOOD PR,SOUTHWEST FREEWAY,29.672222,-95.548233,,
1666,GREENSPOINT TC,GREENSPOINT DR,29.948593,-95.410372,,
1667,ACRES HOMES TC,MONTGOMERY RD,29.864924,-95.431,,
1668,FIFTH WARD/DENVER HARBOR TC,LOCKWOOD DR,29.77535,-95.315375,,
1669,HEIGHTS TC,MAIN ST,29.805554,-95.388335,,
1670,HILLCROFT TC,SOUTHWEST FREEWAY,29.722667,-95.495853,,
1671,SOUTHEAST TC,SCOTTCREST DR,29.701387,-95.357172,,
1672,HIRAM CLARKE TC,HIRAMCLARKETC,29.613892,-95.43185,,
1673,BELLAIRE TC,BELLAIRE BLVD,29.705711,-95.468828,,
1674,EASTWOOD TC,,29.728231,-95.335165,,
1675,KASHMERE TC,KELLEY ST,29.814114,-95.327869,,
1676,MAGNOLIA TC,,29.735182,-95.303051,,
1677,MESA TC,MESA DR,29.849745,-95.264317,,
1678,NORTHWEST TC,OLD KATY RD,29.783119,-95.455608,,
1679,TIDWELL TC,,29.851592,-95.337105,,
1680,FUQUA PR,,29.609847,-95.216809,,
1681,MONROE PR,,29.663962,-95.254652,,
1682,NORTH SHEPHERD PR,SHEPHERD DR,29.876033,-95.41408,,
1683,SPRING PR,CARLSWAY RD,30.022056,-95.417583,,
1684,GESSNER PR,WESTPARK DR,29.720308,-95.537253,,
1685,KINGSLAND PR,KINGSLAND BLVD,29.774021,-95.744426,,
1686,EL FRANCO LEE CLINIC,EL FRANCO LEE DR & GLENWOLDE DR,29.6797,-95.573001,,
1687,ADDICKS PR,PARK ROW RD,29.787456,-95.638333,,
