1 HOSPITAL, 1839
2 BELLAIRE, 5358
3 LANGLEY, 582
3 WEST GRAY, 439
4 BEECHNUT, 2651
5 KASHMERE, 1093
5 SOUTHMORE, 1336
6 JENSEN, 1080
6 TANGLEWOOD, 341
8 SOUTH MAIN, 1538
9 NORTH MAIN, 329
9 GULFTON, 585
10 WILLOWBEND, 812
11 ALMEDA, 829
11 NANCE, 600
14 HIRAM CLARKE, 1546
15 FULTON, 1464
18 KIRBY, 269
19 WILCREST, 609
20 CANAL, 1237
20 LONG POINT, 1512
23 CROSSTIMBERS, 773
24 NORTHLINE, 1658
25 RICHMOND, 3120
26 OUTER LOOP, 827
27 INNER LOOP, 998
29 TSU/UH HIRSCH, 797
30 CLINTON, 398
30 CULLEN, 1813
32 RENWICK, 767
33 POST OAK, 2430
36 KEMPWOOD, 717
36 LAWNDALE, 841
37 EL SOL, 363
40 PECORE, 1055
40 TELEPHONE, 1722
42 HOLMAN, 671
44 ACRES HOMES, 2313
45 TIDWELL, 1893
46 GESSNER, 3504
47 HILLCROFT, 783
48 NAVIGATION, 202
49 CHIMNEY ROCK, 325
50 HARRISBURG, 2592
50 HEIGHTS, 1657
52 HIRSCH, 2090
52 SCOTT, 3269
53 BRIAR FOREST, 1824
56 AIRLINE, 4156
58 HAMMERLY, 397
60 SOUTH MacGREGOR, 399
65 BISSONNET, 3379
66 YALE, 1423
68 BRAYS BAYOU, 1754
72 WESTVIEW, 568
73 BELLFORT, 2963
77 LIBERTY, 1050
77 MLK, 1950
78 IRVINGTON, 424
79 WEST LITTLE YORK, 806
80 DOWLING, 432
80 LYONS, 917
81 WESTHEIMER-SHARPSTOWN, 3334
82 WESTHEIMER-WEST OAKS, 5114
83 LEE ROAD, 628
85 ANTOINE, 2528
86 FM1960, 1949
87 SUNNYSIDE / TMC, 1344
88 HOBBY AIRPORT, 1522
98 BRIARGATE, 222
102 BUSH I.A.H, 2080
131 MEMORIAL, 606
132 HARWIN, 537
137 NORTHSHORE, 1189
163 FONDREN, 4553
302 POLK SHUTTLE, 61
303 WEST SHUTTLE, 91
308 NORTHWEST SHUTTLE, 139
